Gene	pos.pvalue	pos.fdr	neg.pvalue	neg.fdr
DAG1	0.578303425774878	0.963315217391305	0.379934747145188	0.862592592592593
DMD	0.860848287112561	0.999673735725938	0.139151712887439	0.862592592592593
DNAH6	0.132626427406199	0.829591836734694	0.867373572593801	0.990556492411467
DSCAML1	0.570309951060359	0.963315217391305	0.426427406199021	0.934591194968554
DTNB	0.32463295269168	0.963315217391305	0.67536704730832	0.988066825775656
E2F2	0.970146818923328	0.999673735725938	0.0293637846655791	0.5
EHMT2	0.114355628058728	0.829591836734694	0.884665579119086	0.990556492411467
EIF2AK4	0.525448613376835	0.963315217391305	0.474061990212072	0.934591194968554
EIF3G	0.998531810766721	0.999673735725938	0.00146818923327896	0.15
EIF5B	0.977161500815661	0.999673735725938	0.0228384991843393	0.473333333333334
ENDOD1	0.120391517128874	0.829591836734694	0.879608482871126	0.990556492411467
EPC1	0.114355628058728	0.829591836734694	0.884665579119086	0.990556492411467
EPHA2	0.164600326264274	0.845967741935484	0.834584013050571	0.990556492411467
ERCC1	0.999021207177814	0.999673735725938	0.000652528548124032	0.100000000000008
ETV6	0.0624796084828712	0.829591836734694	0.937194127243067	0.990556492411467
FAM188A	0.535399673735726	0.963315217391305	0.464600326264274	0.934591194968554
FBN1	0.444698205546493	0.963315217391305	0.554812398042414	0.95887323943662
FBXL7	0.522838499184339	0.963315217391305	0.476508972267537	0.934591194968554
FHOD3	0.520065252854812	0.963315217391305	0.479934747145188	0.934591194968554
FSIP1	0.390375203915171	0.963315217391305	0.609624796084829	0.978894472361809
GALNT5	0.677650897226754	0.999673735725938	0.322349102773246	0.862592592592593
GLTSCR2	0.998042414355628	0.999673735725938	0.00195758564437198	0.171428571428575
GRIA1	0.0141924959216966	0.829591836734694	0.985807504078303	0.993924466338259
GRIA2	0.976508972267537	0.999673735725938	0.0231647634584013	0.473333333333334
H19	0.784828711256117	0.999673735725938	0.215171288743883	0.862592592592593
HNRNPM	0.358564437194127	0.963315217391305	0.641109298531811	0.982082324455206
IK	0.364763458401305	0.963315217391305	0.635236541598695	0.978894472361809
ING5	0.198858075040783	0.904861111111111	0.800978792822186	0.990556492411467
KARS	0.789070146818923	0.999673735725938	0.210277324632953	0.862592592592593
KEAP1	0.264274061990212	0.946892655367231	0.735725938009788	0.990556492411467
LATS1	0.114355628058728	0.829591836734694	0.884665579119086	0.990556492411467
LCP1	0.578303425774878	0.963315217391305	0.379934747145188	0.862592592592593
