Gene	pos.pvalue	pos.fdr	neg.pvalue	neg.fdr
SLC6A11	0.0549944891509251	0.962247002915446	0.98097832139121	0.996736254736174
SLC7A1	0.667786586208542	0.999240725923241	0.48885224472253	0.96381535756926
SMAD4	0.983404007407079	0.999994678303908	0.00500706587341138	0.410182168761895
SNAPC5	0.695834324698628	0.999240725923241	0.126698815649779	0.96381535756926
SNRNP200	0.999994678303908	0.999994678303908	2.81910135169205e-05	0.0172810912858723
SPHK1	0.95765924525707	0.999994678303908	0.02914773688945	0.621448199044666
SRGAP2	0.952331362935957	0.999994678303908	0.116708912720928	0.952985163940253
STK11	0.0888113856495817	0.962247002915446	0.948039881962888	0.99601666216953
TGFB1	0.955152778368072	0.999994678303908	0.107619864943593	0.943424618950757
TGFBR2	0.993945545091763	0.999994678303908	0.00654653768182079	0.410182168761895
THADA	0.387050328363063	0.967427988225044	0.660068664337397	0.99601666216953
TP53	0.0223138586337578	0.962247002915446	0.968385581761244	0.99601666216953
TRHR	0.231098606481948	0.962247002915446	0.886768757657813	0.99601666216953
TSSAAVS1	0.820954550833936	0.999994678303908	0.310190328591953	0.96381535756926
TSSABCA13	0.472886998380878	0.999240725923241	0.086680329745268	0.905106345331804
TSSADAM17	0.0618238306150051	0.962247002915446	0.744308777527258	0.99601666216953
TSSADAT1	0.94450678773819	0.999994678303908	0.132193502707189	0.96381535756926
TSSAKT1	0.475743901752007	0.999240725923241	0.699078234585423	0.99601666216953
TSSALDH16A1	0.501657982171294	0.999240725923241	0.642828181350869	0.99601666216953
TSSATM	0.0445872777673966	0.962247002915446	0.983558277856776	0.996736254736174
TSSATP7A	0.340331250086372	0.962247002915446	0.815203673326218	0.99601666216953
TSSATP7B	0.913274778942509	0.999994678303908	0.0260922205981979	0.621448199044666
TSSATR	0.924062229341872	0.999994678303908	0.0255095683696085	0.621448199044666
TSSBCL2L1	0.833365160771947	0.999994678303908	0.180697806225059	0.96381535756926
TSSBCL6B	0.102384508278877	0.962247002915446	0.357785247464828	0.96381535756926
TSSBECN1	0.996202740366179	0.999994678303908	0.0086988061890777	0.410182168761895
TSSBRCA2	0.809708097476015	0.999994678303908	0.0727824144425232	0.905106345331804
TSSC1R	0.623066836217323	0.999240725923241	0.347548635947264	0.96381535756926
TSSCADM1	0.222290041747598	0.962247002915446	0.11386732502621	0.952985163940253
TSSCCND1	0.990180339231307	0.999994678303908	0.0293996701016237	0.621448199044666
TSSCDH4	0.981769180949298	0.999994678303908	0.0058546645091917	0.410182168761895
TSSCELF1	0.992141909205383	0.999994678303908	0.0244788631591741	0.621448199044666
TSSCLEC2B	0.789129203322046	0.999994678303908	0.298107215579847	0.96381535756926
TSSCLSTN3	0.661997067141545	0.999240725923241	0.370107326564376	0.96381535756926
TSSDAG1	0.510771820372986	0.999240725923241	0.0484912665777644	0.762183241337681
TSSE2F2	0.273302437186018	0.962247002915446	0.698452224797722	0.99601666216953
TSSEHMT2	0.567777759535393	0.999240725923241	0.416750624448569	0.96381535756926
TSSEIF3G	0.0685965386264369	0.962247002915446	0.968394666644437	0.99601666216953
TSSEIF5B	0.715015912643159	0.999240725923241	0.4147786187625	0.96381535756926
TSSEPC1	0.0149630956305831	0.962247002915446	0.730378901849391	0.99601666216953
TSSEPHA2	0.0341584948041717	0.962247002915446	0.978796479006737	0.996736254736174
TSSERCC1	0.975928841387333	0.999994678303908	0.0658099832122275	0.858330206576499
TSSETV6	0.106659262751033	0.962247002915446	0.957127936785674	0.99601666216953
TSSFAM188A	0.265419124402757	0.962247002915446	0.862805626416692	0.99601666216953
TSSGLTSCR2	0.152683684738194	0.962247002915446	0.546303161827309	0.978251471144728
TSSGRIA2	0.211674182162429	0.962247002915446	0.812949996133708	0.99601666216953
TSSHNRNPM	0.808458683214241	0.999994678303908	0.262498720318707	0.96381535756926
TSSIK	0.885083716904567	0.999994678303908	0.00984060174703139	0.430877776495017
TSSING5	0.344166011799854	0.962247002915446	0.785795202308089	0.99601666216953
TSSKARS	0.820396589926297	0.999994678303908	0.258767979664005	0.96381535756926
TSSKEAP1	0.968839226272659	0.999994678303908	0.0345639417302835	0.637812590620167
TSSLATS1	0.503233978543238	0.999240725923241	0.336968966952527	0.96381535756926
TSSLCP1	0.077345937995334	0.962247002915446	0.362683855441718	0.96381535756926
TSSMSMO1	0.110817517515236	0.962247002915446	0.0502681251484086	0.770359017899362
TSSNF1	0.813442419587277	0.999994678303908	0.310905711531286	0.96381535756926
TSSNFE2L2	0.411701300175363	0.967427988225044	0.264198976533674	0.96381535756926
TSSNHP2L1	0.330769616209538	0.962247002915446	0.76175361464381	0.99601666216953
TSSOR5V1	0.119474435796756	0.962247002915446	0.897103440287735	0.99601666216953
TSSPAX5	0.243185940457148	0.962247002915446	0.843799841362513	0.99601666216953
TSSPCDHGC4	0.222957658010922	0.962247002915446	0.712226360564419	0.99601666216953
TSSPLK1	0.698435661343503	0.999240725923241	0.43665258703916	0.96381535756926
